start,end,speaker,text
0.00,3.00,CHI,1個ずつ持っていきます
4.00,6.00,MOT,ここからは手です
6.00,9.00,CHI,私は? はい
12.00,18.00,CHI,おはようございます おはようございます
31.00,34.00,CHI,おはようございます
45.00,48.00,CHI,おはようございます
90.00,92.00,CHI,生地を使用してください。
106.26,108.46,CHI,壓がバ uh
111.34,113.98,CHI,power
114.98,136.50,CHI,夢 ★お前のお前★
146.50,186.50,MOT,★お前のお前のお前★ ★お前のお前のお前★
186.50,196.50,CHI,★お前のお前のお前★
216.50,291.50,CHI,★お前のお前のお前★ ★ピーフォー★ ★お前のお前のお前★ ★お前のお前のお前★
291.50,315.50,MOT,★今、みきみちゃんがさせているところから★ ★お正月どうでした?★
315.50,322.50,CHI,★お前のお前のお前★
322.50,362.50,MOT,★お前のお前のお前★ ★みきみちゃんがいっぱい★ ★お前のお前のお前★
362.50,408.50,CHI,★お前のお前★ ★お前のお前★ ★ペンによくなっている★
408.50,459.50,MOT,★お前のお前のお前★ ★時間は1時間見ている★
459.50,711.50,CHI,★お前のお前★ ★ペンギンとピー★ ★みんなの言っていた怪物はクロナガスシーラ★ ★ペンギン★ ★タコさんが食べちゃうぞ★ ★ペンギンに逃げたな★ ★ペンギンとは初めて見るシロナガスクジラ★ ★ペンギン★ ★ペンギンにしているの病気なのよ★ ★ペンギン★ ★タコさんが大きいタコだよ★ ★タコさんが食べちゃったよ★ ★タコさんが食べちゃったよ★ ★お魚の顔がピョーンって★ ★ペンギン★
