start,end,speaker,text
0.00,34.00,MOT,★マイクはどこでもいいので、こっちでいいです★ ★ベッドの中から★
34.00,38.00,CHI,★赤ちゃんは寝るんじゃない?★
38.00,74.00,MOT,★赤ちゃんはラックで寝るよ★ ★おうくん、おうくんが寝るよ★ ★おうくん、おうくんのおうくんが寝るよ★
74.00,95.00,CHI,★おうくん、おうくんが寝るよ★
95.00,106.00,MOT,★時間が大丈夫ですよ、1時間、2時間間に★
106.00,108.00,CHI,★これ?★
108.00,110.00,MOT,★低いかな?★
110.00,140.00,CHI,★大丈夫だと思うんですよ★ ★低いかな?★ ★なんかいつも、それもいいですよ★ ★おうくん、おうくん、おうくん、おうくん★
140.00,168.00,MOT,★赤ちゃんは、赤ちゃんとおうくんで寝るよ★ ★それもいいですよ、からばこなんで★ ★おうくん、おうくん、おうくん、おうくん、おうくん★
169.00,204.00,MOT,★一応、30日、お祭り、子供のお祭りでやるって言ってたの★ ★僕がごめんなさい、聞いてないですか?★ ★一応、関島さんにも言ってください★ ★サジュニースの方がなくなった経路はわかりますね★ ★サジュニースの方が来たので、いろいろやってくれるはずだったので★
204.00,208.00,CHI,★おうくん、おうくん、おうくん、おうくん、おうくん、おうくん★
208.00,227.00,MOT,★どれ?★ ★お母さん読むね★ ★どれ読むの?★ ★これは、穴掘り県駐車★ ★利口ー七 stick★
231.00,250.00,MOT,★千葉ちゃんとブラックの部をズボンとします★
251.00,257.00,MOT,ここまで来ないのかもう? ここ、昇 Good まぁ、このくらいなら
257.00,259.00,CHI,こんなんのこれ
259.00,279.00,MOT,それは、LION-三思
279.00,281.00,CHI,母ちゃん、こういうの?
281.00,287.00,MOT,母ちゃん、こういうの? 母ちゃんの! 母ちゃんの!
287.00,293.00,CHI,後ろの赤いのを 押せば、指と指を押します だんまりだらけになるとまっちゃうので
293.00,297.00,MOT,この時は、 お手早く!
297.00,311.00,CHI,説明聞いてから これを、こっちでバンシートやって またこっち開けると また出て 中で出ていて お気急! お気に入りしてください
311.00,313.00,MOT,これなんだこれ
313.00,317.00,CHI,どうぞ、また ごめんね
317.00,347.00,MOT,これなんだこれ お願いします これなんだ ヤギさんが救急車に乗ってる ヤギさんが救急車に乗ってるよ ヤギさんが救急車に乗ってるよ これなんだ え? 救急車やつ ヤギさんが救急車に乗ってる これ、キッキーちゃんが乗ってる あ、キッキーちゃんこれスケートしてるよ キッキーちゃんのスケート ミニーって言ってるよ キッキーちゃんがスケートしてるの
347.00,349.00,CHI,これなんだ
