start,end,speaker,text
0.00,9.00,CHI,痛くない?痛くない?痛くないよ? ちょっと痛いかな?
10.00,13.00,MOT,僕は大丈夫ですけども
16.00,20.00,MOT,もしそこにおいたら気にすると思います今
20.00,24.00,CHI,マイク?なんか素晴らしい
25.00,27.00,CHI,あ、何も嫌いよこれ
28.00,30.00,MOT,この子慣れるんですよ
32.00,35.00,MOT,これ細かいのが一回子供が気にする
43.00,45.00,MOT,アクラーですか?
45.00,46.00,CHI,音が…
51.00,53.00,CHI,先輩と今だけで来たらいいですか?
53.00,56.00,MOT,いやいやいや、寸子が来ていいです
56.00,59.00,CHI,すみません、コンセント入れてもらいますか?
61.00,63.00,CHI,抜いてんでいちいち
64.00,68.00,CHI,そのほうが電気内の接続になるんちゃう
69.00,71.00,MOT,でも大変ですよね
74.00,77.00,MOT,ちょっとさ、やつに向こうに置いてみますね
78.00,81.00,MOT,人間の耳だと気にならないんですけどね
82.00,84.00,CHI,あ、面白いよな
85.00,91.00,MOT,人間の耳って実際の音の大きさとは違って自分の聞きたい音が聞きました
93.00,97.00,MOT,そういう風にできてるんですね耳が聞くって言うのも脳が聞いてるんですけど
99.00,101.00,CHI,何よ?嫌いよこれ
103.00,105.00,CHI,開けられなさい
106.00,108.00,CHI,何?これ?
112.00,114.00,CHI,ちょっと怖いでる
115.00,119.00,CHI,これやったら一味 うちぐちゅんなる
121.00,123.00,CHI,いやいやいや
126.00,134.00,MOT,録音したのを後で聞くとテープちゃんのビデオにもされていません 録音した時はこんな感じで音してなかったらいいです
137.00,147.00,CHI,あとからね あ、何?帽子? これかつらじゃないからね取れませんよ これどうやって取るんですか?下のアイジアンの
149.00,157.00,CHI,うちみちゃんの表のあれでしょ? なんかヘラみたいなの取るんだね これじゃあ いや、大丈夫ですか? それ取れるかな?
158.00,160.00,CHI,これ取れるんですか? うん、そうなんだよ
161.00,163.00,MOT,うちも買ってきた気が使ってない
163.00,166.00,CHI,結構、なってもいいけど買ってきてから
166.00,177.00,MOT,でも、昨日かな? 兄ちゃん、テレビのコードが外れてて それを持ってて、テレビのコードが外れてて それを持ってコンセントに入れようとしてたから
181.00,185.00,CHI,一応やることがわかってるね 口に持っていくけど
192.00,194.00,CHI,あ、そうや、母さんこれテーションだそうと思ってた
197.00,209.00,MOT,よし、すいません時間かかって あれから、あの、2回だな? 他のお客にやって
209.00,211.00,CHI,お母さんにとか寄せて
214.00,217.00,CHI,あ、あ、あ、じゃないみちみ これ
217.00,218.00,MOT,あらら
218.00,220.00,CHI,あ、あ、じゃないよこれ
221.00,223.00,CHI,あ、あ、もう
224.00,225.00,CHI,え?
227.00,230.00,CHI,どうすんの?ババいよ、そんなの
231.00,234.00,CHI,これ、ないないしたかな、顔の ババいよ、ろ?
235.00,236.00,CHI,ババいよ
237.00,239.00,CHI,はい、こっち入れて
240.00,242.00,CHI,ないないして、ゴミ ないないして
245.00,246.00,CHI,ないない
247.00,249.00,CHI,これあるよ、こんな形して
250.00,256.00,CHI,あ、あ、リコーさんだな あ、リコーさんだな 帽子は入れんでいいよ、帽子は入れんでいいの
257.00,258.00,CHI,入れんでいいの
261.00,262.00,CHI,帽子は入れんでいいの
264.00,266.00,CHI,帽子を人間さんにかぶせてて
267.00,269.00,CHI,帽子を人間さんにかぶせてて
275.00,277.00,CHI,ずるー、自分もね、ねして
280.00,282.00,CHI,まだですよ じゃあ、もういいです
295.00,303.00,CHI,トラック、トラックは? トラック トラック、聞いてたね ねえ、トラック、トラックは?
304.00,305.00,CHI,トラック
307.00,308.00,CHI,トラック、何これ?
310.00,311.00,CHI,トラック
313.00,315.00,CHI,トラック これトラック?
316.00,319.00,CHI,これ消防車やん 消防車自動車
320.00,322.00,CHI,トラック、これやん 清掃車
325.00,328.00,CHI,トラック トラック これ電車やで
329.00,330.00,CHI,電車
331.00,341.00,CHI,トラック これ飛行機やん、ぶーんよ おそらたぶん飛行機やん、ぶーんって トラック これもトラックやね 消防車のトラック
342.00,344.00,CHI,消防車のトラック
345.00,348.00,CHI,トラック うん、ダンプトラック
350.00,356.00,CHI,トラック トラック トラック バスは道に、バス
357.00,358.00,CHI,バスは?
359.00,361.00,CHI,青船 青船
363.00,365.00,CHI,バスは?バス
368.00,373.00,CHI,バス前の方にあったんじゃね? バス いや、お菓子がいっついてる これ
376.00,378.00,CHI,バス バス
379.00,382.00,CHI,バス バスやろ?
388.00,389.00,CHI,バスは?
395.00,400.00,CHI,キティちゃんはどこ? ここ? キティちゃん うん キティちゃんは?
402.00,407.00,CHI,キティちゃんは? ここ うん、これ電車よ 電車
411.00,416.00,CHI,キティちゃん キティちゃんだ じゃあ、パンダ教えて パンダは? パンダ
418.00,422.00,CHI,パンダさん、こんにちは こんにちは
423.00,424.00,CHI,こんにちはって
425.00,426.00,CHI,こんにちは
427.00,430.00,CHI,パパ パンダやん パッコ
431.00,433.00,CHI,にゃんにゃん パッコ
434.00,435.00,CHI,パンダ
436.00,437.00,CHI,パンダ
446.00,450.00,CHI,バス教えて、母さんのお菓子 バスは? バス
451.00,455.00,CHI,パッコ これトラック? 電車やろ?
456.00,457.00,CHI,飛行機は?
458.00,459.00,CHI,飛行機は?
461.00,464.00,CHI,飛行機のうちあったかな ないね
470.00,472.00,CHI,パッパ アイパンじゃないよ
475.00,477.00,CHI,あ、道見て ほら
478.00,480.00,CHI,ちっちゃい絵本 ちっちゃい絵本
482.00,484.00,CHI,ボール ボール
485.00,486.00,CHI,ボールは?
488.00,490.00,CHI,反対反対、こっちよ、こっち
492.00,495.00,CHI,ポンッタ ソックスね、ソックス
497.00,498.00,CHI,卵や卵
499.00,502.00,CHI,卵さんが マフラーを巻いてます
504.00,506.00,CHI,マフラー巻いてます
507.00,508.00,CHI,うん
510.00,514.00,CHI,パンダは? パンダは? あ、ガガがおったよ ガガ
515.00,516.00,CHI,パンダ
517.00,519.00,CHI,それとラックやろ
520.00,526.00,CHI,あ、にゃんにゃんもいた これは? カルさんがガガやろ? パンダ お花
