start,end,speaker,text
0.00,6.00,MOT,手が動いてると思って、動いてなかった。 なんだ?
16.00,20.00,MOT,そこまで落ちた方がいいかな? いいです。こっちの方行きます。
21.00,23.00,MOT,これをこう。
26.00,33.00,MOT,一応、重ねて遊ぼう。 椅子のあたりは十分を移ります。 こっちもそこまで十分を移ります。
38.00,61.00,MOT,移すと、電火でいえば、細長い方がいい。 そうですよね。 この子も走り回れるから、まだ長い方がいい。 一時間経ったら、取りに行きます。 はい。 あなたは遠くになったから。 今、間違ったんですけど、実は簡単だということが分かった。
68.00,76.00,MOT,みーちゃん、連れてきたらタクコウエンが死んでる。 待って!待って! 待って!待って!
78.00,82.00,MOT,みっちぃ、絵本を持ってきて。
89.00,95.00,MOT,バイバイ! よく分かるね。 さようなら!バイバイ!
96.00,102.00,MOT,みーちゃん、パパ、さようなら。 またね。 またね。バイバイ!
104.00,112.00,MOT,みっちぃ。 あ、こちらを付けるといいですか? はい。 みっちぃ、いかへんよ。
113.00,117.00,MOT,母さんと遊ぶの。 ね。
118.00,123.00,MOT,絵本を頼みましょうか。 一人で運地できるかな。
124.00,132.00,MOT,小犬の頃が、 あれね、おしっこだったよ。 おしっこだったよ。
136.00,138.00,MOT,頑張ってるよ。
139.00,164.00,MOT,怪獣さんが、 怪獣さんが、 怪獣さんが、 大きね。 アリンコ。 アリンコね。 大きい運地だな。 ってびっくりしてるよ。 アリンコもびっくりしてるよ。 みっちぃもさっき運地でたね。 よかったね。大きなでてね。
166.00,172.00,CHI,おしっこだ。 おしっこだ。 おしっこだ。
175.00,184.00,MOT,この誰? 猫ちゃん? 猫ちゃん、猫ちゃんの子? 猫ちゃんの運地みよっか。
185.00,190.00,MOT,猫のみけが、 あ、とってもいい運地。
191.00,194.00,MOT,みっちぃもこんなでたね、さっきね。
197.00,205.00,MOT,これは何? これ? これは? しっこ。
208.00,214.00,CHI,くそん。 これはぴーちゃんが? おとりのぴーちゃんが?
214.00,220.00,MOT,ちっちゃい運地やね。 みっちぃのどれくらいだった?さっき。
221.00,223.00,MOT,みっちぃの。
224.00,235.00,MOT,てるやらみちまう。 で? ちっちぃ。 ちっちぃちゃん? ことりのぴーちゃんが?
238.00,244.00,MOT,ちっちゃいね。 ちっちゃいね。 かいな。
247.00,251.00,MOT,かいじゅうさんは? これは?どんなの?
252.00,270.00,MOT,ほら。 大きい。 アリンコ。 アリンコさんが? アリンコさんちっちゃいから、 こんな大きい運地やね。 かいじゅうさんの運地やからね。 あ、アリンコさんがったね。
272.00,279.00,MOT,このが?みーちゃんが? みーちゃんが? わーい。
280.00,290.00,MOT,元気な運地でだね。 よかった。 運地した後は? はい、おしりふいて。 お水をじゃー。
291.00,293.00,MOT,おしりふいてね。
303.00,308.00,CHI,パンツをあげたよーって。 みっちゃんパンツをあげたよーって。
310.00,319.00,MOT,うん。 これ?これ見るな。 グリトグラ? グリトグラ。
321.00,340.00,MOT,グリトグラが、どんぐりを拾いに 森の中に出かけました。 どんぐりを拾っていると、 大きな、これ卵が落ちていました。 なんと大きいんでしょう。 グリトグラは、かついで卵を持って帰れば。
344.00,357.00,MOT,これ何?お皿? これはフライパンやろ。 お料理しましょう。 卵で。 鍋。
357.00,363.00,CHI,大きいね。 鍋の糸。 引っ張っていこう。
363.00,365.00,MOT,卵を引っ張っていこう。
