start,end,speaker,text
0.00,4.00,MOT,いないいない! あれ? バー!
6.00,24.00,MOT,それから、これも絶対じゃないんですけど、 行きるだけ音の出るもんじゃ使わないんです。 音って ピアノとか? 傷って、そうそう、音が出るところがいいんですけど、 ピアノとか、それから なんだろうな、あと何があります? そう思います。
24.00,26.00,CHI,おしたら、食べるやつとかですか?
26.00,27.00,MOT,そうですね。
28.00,30.00,MOT,ちょっとちょっとだけくらいはいいんですけど、
30.00,32.00,CHI,チリンチリンとかがいいんです。
32.00,37.00,MOT,いいです。ゆうとに、 一日ちゃんの声音言っているので、 重なっちゃうと、
37.00,39.00,CHI,これくらいでいいです。
39.00,76.00,MOT,そう、だから、 ピアノにしたって、 ちょっとくらいは大丈夫です。 絶対っていいのかな? 一応言っといて。 そう言っと、 あと、本音は 読んではいただきたいんですけど、 本音の時って、 やることが一番、 小さいのうちは、 あんまりさらにないんですけど、 一度くらい続いたら、 僕の方で、 音を取りますので、 こういうフリーをよろしくお願いします。 よろしくお願いします。
77.00,91.00,MOT,でも、このくらいの 10-11音とか、 あんまりないと思うから、 いいです。 そうくらいです。 あとは普通に、 動き回っちゃうけど、
91.00,92.00,CHI,いいですか?
92.00,94.00,MOT,それはいいです。
94.00,100.00,CHI,そっちで止めたりしないですか? ずーっと取りっぱなしないです。
100.00,109.00,MOT,そう、そうです。 そう、大丈夫です。 一日ちゃんが、 おふえ表紗で用意した時、
110.00,124.00,MOT,こういうところまで、 言われてます? いやー、別にないです。 いいですか? それと、 途中で音を変えたいんですけど、 その時は、 何が変わるんですか? それともそのままいいですか?
124.00,126.00,CHI,別にそのままでもいいです。
126.00,133.00,MOT,そのまま、 それからも、 音がね、 って違うので、 あんまりないんですけど、 止めてくれてると。
133.00,135.00,CHI,そう。 ねー。
135.00,137.00,MOT,動き回ってどのまま、 どのままにも動きます?
137.00,140.00,CHI,もう結構、 階段に行ったり、 上に行ったり、
140.00,141.00,MOT,あ、本当ですか?
141.00,144.00,CHI,あ、そうなの? あ、そうなの? あ、そうですか?
144.00,157.00,MOT,普通のマイクは5点なので、 この辺の方がいいんですけど、 はい。 で、 この辺なの? わけないと動くでしょ。 マイクの位置を決めようとしているんですけど。 なるほどですね。
157.00,163.00,CHI,そことか、 金魚とか、 一体するんですけどね。
164.00,176.00,MOT,おもちゃ、 おもちゃがそこにいるのも、 その近くが多いですかね。 じゃあ、そっちの方。 おもちゃ。 よっしゃ。 おもちゃ。 この上って置いていいんでしょうか?
176.00,177.00,CHI,はい。
181.00,186.00,CHI,次、 後で、 エフォーマンを入れてあげるんですけど、 さあ、
193.00,194.00,CHI,はい。
199.00,207.00,MOT,エフォーマンの位置に 構わないですけど、 エフォーマンの時代は、 エフォーマンがするとなかなか なければ大丈夫。
224.00,228.00,MOT,普段、カメラルが取られてます。 ビデオ。
231.00,234.00,MOT,普段ビデオとか、 よく取られてます。
234.00,236.00,CHI,あんまり取らないですね。
238.00,239.00,CHI,きますね。
239.00,240.00,MOT,やってくるでしょ?
240.00,241.00,CHI,うーわー。
249.00,256.00,CHI,私が撮れたら、 この動画も撮れないけど、 私は、 ちょっと、 撮ってみてください。 立ち上がっても、
256.00,261.00,MOT,できました。 最後だけ、 お金で一緒に そんなことしてれば、 立ち上がってます。
263.00,264.00,CHI,もうやりますか?
264.00,266.00,MOT,え、 それ、やります。
267.00,275.00,MOT,もう、 もうやってやります。 はい。 あとちょっと、 横のほうとのタイミングを 僕が合わせるだけで、 もう、 勝手にやってください。
275.00,280.00,CHI,はい。 一人。 エフォーマンやるだけで。 え?
281.00,285.00,CHI,これは? キティちゃんのほう、 キティちゃん。 ブブは?
286.00,292.00,MOT,ブブ。 3、2、1、 マーク。 はい。 はい、一人。
293.00,294.00,MOT,ブブ上へ行くぞ。
296.00,299.00,CHI,もう、 スケンターで 当たらないといけないな。
302.00,303.00,CHI,ブブよ。
307.00,309.00,CHI,おー。 これもね。
311.00,312.00,CHI,キティちゃん。
313.00,314.00,CHI,ちょっと待ってください。
316.00,318.00,CHI,バース、バース、 ライブバース、
320.00,321.00,CHI,ライブバース。
322.00,324.00,MOT,ちょっと待ってください。 ちょっと待ってください。
326.00,327.00,MOT,クロー。
328.00,329.00,MOT,この辺のほうが
330.00,332.00,MOT,車の音はしないですか? はい。
333.00,334.00,MOT,やめて。
335.00,337.00,CHI,閉めて、 開くられば
339.00,340.00,MOT,最初、
340.00,342.00,CHI,大丈夫です。 結構。
344.00,346.00,MOT,やったこと自体は 簡単なことなんですけど、
