start,end,speaker,text
0.00,10.56,MOT,組み立て下がり
30.00,107.34,MOT,BGM ファンク still water ★パンパンのパンパン★ ★パンパンのパンパン★ ★マットの端から、パンパンのパンパン★ ★パンパンのパンパン★
107.34,143.34,CHI,★パンパンのパンパンを押すと1時停止で、パンパンを倒すと完全に止まる★ ★パンパンのパンパンを押すと1時停止で、パンパンを倒すと1時停止で、パンパンを倒すと完全に止まる★
153.34,187.34,MOT,★パンパンを倒すと1時停止で、パンパンを倒すと1時停止で、パンパンを倒すと1時停止で★ ★ドラえもん★
188.06,190.06,MOT,ちょっと待って
190.28,191.28,MOT,頼む?
194.54,196.48,MOT,頼む? いいよ
199.48,199.96,MOT,ガチャガチャ
200.48,202.14,MOT,貼りかけ
203.34,205.34,MOT,えっ落不錯
206.18,207.64,MOT,落ちちゃったね
208.08,209.92,MOT,drop 入れ迷うの無いよ
214.60,231.70,MOT,と思います 一日間のさ、足して開けながら。 開け? 開け? 手本があったのよな。
237.70,243.70,CHI,じゃあ、10日25分ぐらいになったら、 止めてくれない?
244.70,254.70,CHI,じゃあ、お願い。 バイバイ。 みっちんのままバイバイ。 バイバイはみっちみ。 バイバイできるか?
261.70,265.70,MOT,開け合った。 開け。
272.70,274.70,MOT,開けちゃおうね。
276.70,283.70,MOT,手本があった。 開けよ。 おめでとうございます。
286.70,288.70,MOT,バイバイ。
290.70,300.70,MOT,開けくるよね。 また一日間したらおめでとうございます。 おめでとうございます。 あ、そうだね。おっぱいなればよいもんね。
301.70,305.70,MOT,おもちゃがいっぱい読んで、母さんに。
313.70,320.70,MOT,みっちみ、アンパンもあるで。 今日はアンパンも、アンパンもさ、アンパンで食べたいの。
321.70,329.70,MOT,ついておめでとうが。 これだ。 これ何? カイル。
331.70,333.70,MOT,アンパンもある?
336.70,344.70,MOT,バイク。 バイキーマン。 きていちゃん。 きていちゃんこれ。
345.70,347.70,MOT,パンテちゃん。
351.70,353.70,MOT,あれ?たくねボールがあるの?
359.70,364.70,MOT,しげりだ。 みっちみのお家の音一緒。しげりだ。
365.70,367.70,MOT,すみません。
368.70,370.70,MOT,うん。
371.70,384.70,MOT,アンパンもあるで。 うちに。 アンパンなんよ。 アンパンって何よ。 アンパンは、アンパンは君さ。
385.70,393.70,MOT,みっちみ、飛行機乗ってバーバーが入ったね。 みっちみに入ったね。 今日もおめでとうしたいよ。
398.70,402.70,CHI,おめでとう。 おめでとう。
402.70,404.70,MOT,天使。アンパンもどれ?
408.70,412.70,MOT,これでしょ? アンパンは、これでしょ?
419.70,431.70,MOT,きていちゃんも。 ちょっと、きていちゃんね。 飛行機?きていちゃん。 みっちみ。アンパンどれ?アンパンだ。 アンパンだ。 かけて。
431.70,433.70,CHI,ラヨンは?
433.70,435.70,MOT,ラヨン。
435.70,439.70,CHI,ガオン。 ガオン。
439.70,453.70,MOT,ペンギンみたいな道向きの 行け袋の水素館で。 ペンギンいたね。 ペンギンどこにいる? ペンギンどこにいるかな? ほら。ペンギン。
455.70,457.70,MOT,ペンギン。
459.70,473.70,MOT,ハザラシもいたよ。 ハザラシ。 ゴマハザラシもって、水素と売り入れたよ。 なんか大きい子もしらしな。 ゴマちゃん。 ゴマハザラシ。
