start,end,text,assigned,overlap_ratio,overlap_sec
0.0,10.56,組み立て下がり,MOT,0.0,0.0
30.0,40.0,BGM,MOT,0.0,0.0
40.0,58.0,ファンク still,MOT,0.0,0.0
58.0,61.34,water,MOT,0.0,0.0
61.34,71.34,★パンパンのパンパン★,MOT,0.0,0.0
71.34,81.34,★パンパンのパンパン★,MOT,0.0,0.0
81.34,99.34,★マットの端から、パンパンのパンパン★,MOT,0.059652777777778,1.073750000000004
99.34,107.34,★パンパンのパンパン★,MOT,0.0,0.0
107.34,123.34,★パンパンのパンパンを押すと1時停止で、パンパンを倒すと完全に止まる★,CHI,0.05445312500000021,0.8712500000000034
123.34,143.34,★パンパンのパンパンを押すと1時停止で、パンパンを倒すと1時停止で、パンパンを倒すと完全に止まる★,CHI,0.0013609375000001478,0.027218750000002956
153.34,175.34,★パンパンを倒すと1時停止で、パンパンを倒すと1時停止で、パンパンを倒すと1時停止で★,MOT,0.053409090909091426,1.1750000000000114
175.34,187.34,★ドラえもん★,MOT,0.1204166666666661,1.4449999999999932
188.06,190.06,ちょっと待って,MOT,0.6611093750000094,1.3222187500000189
190.28,191.28,頼む?,MOT,0.7609062499999766,0.7609062499999766
194.54,195.94,頼む?,MOT,1.0,1.4000000000000057
195.94,196.48000000000002,いいよ,MOT,1.0,0.5400000000000205
199.48000000000002,199.96,ガチャガチャ,MOT,1.0,0.47999999999998977
200.48000000000002,202.14000000000001,貼りかけ,MOT,0.45088478915662783,0.7484687500000007
203.34,205.34,えっ落不錯,MOT,0.0,0.0
206.18,207.64000000000001,落ちちゃったね,MOT,0.052846746575343266,0.07715625000000159
208.08,209.92000000000002,drop 入れ迷うの無いよ,MOT,1.0,1.8400000000000034
214.6,215.7,と思います,MOT,0.7394602272727181,0.8134062499999857
215.7,222.7,一日間のさ、足して開けながら。,MOT,0.6229955357142875,4.360968750000012
222.7,226.7,開け?,MOT,0.3148437500000014,1.2593750000000057
226.7,228.7,開け?,MOT,0.8486093750000094,1.6972187500000189
228.7,231.7,手本があったのよな。,MOT,1.0,3.0
237.7,240.7,じゃあ、10日25分ぐらいになったら、,CHI,0.0,0.0
240.7,243.7,止めてくれない?,CHI,0.0,0.0
244.7,246.7,じゃあ、お願い。,CHI,0.0,0.0
246.7,248.7,バイバイ。,CHI,0.0,0.0
248.7,250.7,みっちんのままバイバイ。,CHI,0.0,0.0
250.7,252.7,バイバイはみっちみ。,CHI,0.0,0.0
252.7,254.7,バイバイできるか?,CHI,0.0,0.0
261.7,263.7,開け合った。,MOT,0.0,0.0
263.7,265.7,開け。,MOT,0.0,0.0
272.7,274.7,開けちゃおうね。,MOT,0.0,0.0
276.7,278.7,手本があった。,MOT,0.7646874999999795,1.529374999999959
278.7,280.7,開けよ。,MOT,0.5576718750000111,1.1153437500000223
280.7,283.7,おめでとうございます。,MOT,0.9313645833333339,2.794093750000002
286.7,288.7,バイバイ。,MOT,0.0,0.0
290.7,292.7,開けくるよね。,MOT,0.6342031249999991,1.2684062499999982
292.7,295.7,また一日間したらおめでとうございます。,MOT,1.0,3.0
295.7,297.7,おめでとうございます。,MOT,0.9573281249999752,1.9146562499999504
297.7,300.7,あ、そうだね。おっぱいなればよいもんね。,MOT,0.5690729166666794,1.7072187500000382
301.7,305.7,おもちゃがいっぱい読んで、母さんに。,MOT,0.6312499999999943,2.5249999999999773
313.7,315.7,みっちみ、アンパンもあるで。,MOT,0.8017343750000236,1.6034687500000473
315.7,320.7,今日はアンパンも、アンパンもさ、アンパンで食べたいの。,MOT,0.7914437500000077,3.957218750000038
321.7,323.7,ついておめでとうが。,MOT,0.6935781249999877,1.3871562499999754
323.7,325.7,これだ。,MOT,0.6364218750000248,1.2728437500000496
325.7,327.7,これ何?,MOT,0.410312499999975,0.82062499999995
327.7,329.7,カイル。,MOT,0.39985937500000546,0.7997187500000109
331.7,333.7,アンパンもある?,MOT,0.6864218750000077,1.3728437500000155
336.7,338.7,バイク。,MOT,0.5911093750000305,1.182218750000061
338.7,340.7,バイキーマン。,MOT,0.5282656249999889,1.0565312499999777
340.7,342.7,きていちゃん。,MOT,0.7688906249999832,1.5377812499999663
342.7,344.7,きていちゃんこれ。,MOT,0.520140624999982,1.040281249999964
345.7,347.7,パンテちゃん。,MOT,0.0,0.0
351.7,353.7,あれ?たくねボールがあるの?,MOT,0.9671874999999943,1.9343749999999886
359.7,361.7,しげりだ。,MOT,1.0,2.0
361.7,364.7,みっちみのお家の音一緒。しげりだ。,MOT,0.7415520833333176,2.2246562499999527
365.7,367.7,すみません。,MOT,0.6801406249999786,1.3602812499999573
368.7,370.7,うん。,MOT,0.4018750000000182,0.8037500000000364
371.7,373.7,アンパンもあるで。,MOT,0.8451406249999707,1.6902812499999413
373.7,375.7,うちに。,MOT,0.2992343750000259,0.5984687500000518
375.7,377.7,アンパンなんよ。,MOT,0.8876406249999889,1.7752812499999777
377.7,379.7,アンパンって何よ。,MOT,0.9763906249999934,1.9527812499999868
379.7,384.7,アンパンは、アンパンは君さ。,MOT,0.6716812499999947,3.358406249999973
385.7,389.7,みっちみ、飛行機乗ってバーバーが入ったね。,MOT,0.9421015624999853,3.7684062499999413
389.7,391.7,みっちみに入ったね。,MOT,0.7495156249999866,1.4990312499999732
391.7,393.7,今日もおめでとうしたいよ。,MOT,1.0,2.0
398.7,400.7,おめでとう。,CHI,0.13639062499999,0.27278124999998
